application,description,wdoc_referential_link
AEHE,L’application d’autorisation d’études hors établissement (AEHE) s’adresse à tout étudiant inscrit comme étudiant régulier dans un établissement universitaire québécois.,https://aehe.bci-qc.ca/fr/
Portail,<ND>,https://nondefined.link
SAE,<ND>,https://nondefined.link
Synchro,Synchro permet de gérer certaines activités en matière de ressources humaines finances et gestion academique. ,https://www.synchro.umontreal.ca/
Infra-SENS,<ND>,https://nondefined.link
Lara-Okta,<ND>,https://nondefined.link
RDDUM,<ND>,https://nondefined.link
PIMA/RECA,<ND>,https://nondefined.link
CRN,<ND>,https://nondefined.link
CEPSUM,<ND>,https://nondefined.link
